[17-May-2017 02:56:20 UTC] PHP Fatal error:  Class 'App\Http\Controllers\DB' not found in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 21
[17-May-2017 02:56:40 UTC] PHP Fatal error:  Class 'App\Http\Controllers\DB' not found in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 21
[17-May-2017 02:59:42 UTC] PHP Fatal error:  Class 'Illuminate\Suppor\Facades\DB' not found in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 21
[17-May-2017 12:03:59 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 24
[17-May-2017 12:03:59 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 24
[17-May-2017 12:04:07 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 24
[17-May-2017 12:04:17 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 24
[17-May-2017 12:04:28 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 24
[17-May-2017 12:05:59 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/storage/framework/views/e46d02205b2b90a1ed7988fada88a8432e0e21f1.php on line 21
[17-May-2017 12:05:59 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/storage/framework/views/e46d02205b2b90a1ed7988fada88a8432e0e21f1.php on line 21
[17-May-2017 12:07:00 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
[17-May-2017 12:07:03 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
